feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,label
9.0,24.0,80.0,8.0,63.0,3.0,28.0,10.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,0.9252445710371752,1.0
35.0,14.0,12.0,64.0,1.0,45.0,2.0,32.0,2.0,5.0,4.0,0.0,0.0,4.0,1.0,4.0,0.8474837694043957,1.0
48.0,72.0,100.0,2.0,5.0,28.0,4.0,4.0,2.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,0.9460064442284056,1.0
30.0,4.0,4.0,9.0,0.0,7.0,10.0,20.0,7.0,0.0,3.0,8.0,10.0,6.0,3.0,1.0,0.3941968042835958,0.3941968042835958
40.0,16.0,3.0,12.0,6.0,30.0,20.0,27.0,3.0,6.0,2.0,4.0,1.0,7.0,1.0,6.0,0.6695715460747678,0.7695715460747677
49.0,20.0,12.0,2.0,12.0,18.0,16.0,10.0,0.0,8.0,1.0,1.0,4.0,7.0,6.0,3.0,0.6170468957972051,0.717046895797205
36.0,40.0,72.0,0.0,10.0,8.0,6.0,4.0,0.0,6.0,1.0,5.0,9.0,7.0,1.0,3.0,0.6363127075258378,0.7363127075258378
18.0,7.0,6.0,9.0,21.0,6.0,4.0,30.0,7.0,6.0,1.0,8.0,4.0,5.0,0.0,7.0,0.4607263441305202,0.4607263441305202
28.0,70.0,10.0,3.0,16.0,45.0,36.0,6.0,3.0,3.0,3.0,2.0,6.0,4.0,5.0,5.0,0.7788876428295721,0.8788876428295721
35.0,30.0,15.0,4.0,9.0,18.0,4.0,8.0,2.0,1.0,2.0,3.0,8.0,3.0,0.0,2.0,0.7240306445312754,0.7240306445312754
16.0,3.0,5.0,56.0,36.0,3.0,8.0,50.0,0.0,2.0,4.0,1.0,5.0,2.0,2.0,5.0,0.8178159030535578,0.9178159030535578
40.0,8.0,5.0,0.0,0.0,14.0,3.0,10.0,6.0,7.0,4.0,9.0,3.0,5.0,2.0,9.0,0.3472096642294073,0.44720966422940733
12.0,8.0,9.0,4.0,90.0,2.0,16.0,18.0,4.0,7.0,0.0,3.0,1.0,1.0,0.0,7.0,0.7181422381212559,0.9181422381212558
10.0,2.0,8.0,18.0,0.0,3.0,10.0,90.0,3.0,1.0,2.0,3.0,8.0,2.0,9.0,1.0,0.6279144328515958,0.7279144328515957
24.0,70.0,72.0,0.0,9.0,16.0,18.0,4.0,2.0,3.0,1.0,3.0,8.0,6.0,3.0,3.0,0.7516606770012235,0.9516606770012235
56.0,6.0,4.0,27.0,2.0,18.0,4.0,40.0,1.0,1.0,0.0,6.0,1.0,3.0,3.0,6.0,0.7915373915517792,0.9915373915517791
15.0,24.0,30.0,2.0,90.0,6.0,10.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9443156920304168,1.0
12.0,14.0,20.0,8.0,80.0,3.0,20.0,16.0,1.0,5.0,1.0,7.0,2.0,2.0,1.0,0.0,0.8196567083307122,1.0
9.0,6.0,16.0,40.0,35.0,3.0,8.0,50.0,0.0,5.0,6.0,6.0,2.0,2.0,2.0,5.0,0.7143277944279305,0.8143277944279305
35.0,6.0,2.0,10.0,32.0,3.0,20.0,18.0,2.0,1.0,1.0,9.0,4.0,2.0,8.0,7.0,0.5376961343241486,0.5376961343241486
48.0,45.0,7.0,2.0,0.0,72.0,16.0,3.0,2.0,4.0,6.0,1.0,4.0,1.0,0.0,2.0,0.847273929326686,0.947273929326686
25.0,2.0,2.0,12.0,16.0,6.0,30.0,63.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0,2.0,0.8581278705797845,1.0
9.0,1.0,10.0,40.0,30.0,4.0,2.0,72.0,0.0,0.0,3.0,6.0,7.0,3.0,1.0,1.0,0.7619067207277321,0.8619067207277321
50.0,80.0,28.0,0.0,0.0,36.0,10.0,3.0,5.0,2.0,3.0,7.0,3.0,0.0,3.0,2.0,0.7919127716452099,0.8919127716452099
14.0,3.0,12.0,16.0,0.0,3.0,5.0,45.0,5.0,2.0,4.0,0.0,10.0,2.0,4.0,4.0,0.5226982618276198,0.5226982618276198
28.0,2.0,1.0,70.0,4.0,6.0,2.0,90.0,3.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,0.9498849853397888,1.0
24.0,4.0,12.0,5.0,80.0,6.0,20.0,21.0,2.0,0.0,1.0,4.0,2.0,5.0,1.0,4.0,0.8370052662124233,0.9370052662124233
24.0,24.0,80.0,25.0,70.0,2.0,6.0,8.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0,2.0,0.9472052979251931,1.0
48.0,81.0,70.0,2.0,0.0,64.0,12.0,2.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.971212063296072,1.0
18.0,4.0,4.0,9.0,20.0,4.0,5.0,40.0,3.0,0.0,3.0,8.0,8.0,3.0,4.0,6.0,0.5087049680992494,0.5087049680992494
16.0,3.0,4.0,18.0,10.0,4.0,6.0,40.0,0.0,2.0,3.0,7.0,9.0,0.0,5.0,6.0,0.497561094574935,0.497561094574935
28.0,1.0,4.0,15.0,3.0,4.0,2.0,90.0,3.0,0.0,3.0,2.0,2.0,0.0,1.0,1.0,0.9141727405215628,1.0
12.0,2.0,3.0,4.0,50.0,1.0,40.0,35.0,4.0,1.0,2.0,3.0,5.0,0.0,6.0,2.0,0.7702354730500613,0.8702354730500613
42.0,4.0,4.0,45.0,2.0,9.0,3.0,60.0,1.0,0.0,0.0,4.0,1.0,0.0,2.0,4.0,0.9503534827033867,1.0
8.0,15.0,8.0,5.0,30.0,8.0,8.0,12.0,7.0,2.0,7.0,4.0,7.0,2.0,2.0,4.0,0.5005952214346429,0.5005952214346429
12.0,8.0,50.0,12.0,60.0,4.0,6.0,8.0,1.0,7.0,5.0,1.0,4.0,3.0,1.0,7.0,0.6808818876097713,0.7808818876097713
20.0,9.0,10.0,0.0,10.0,6.0,49.0,8.0,8.0,0.0,9.0,3.0,3.0,5.0,0.0,2.0,0.5386171802804975,0.6386171802804975
60.0,36.0,8.0,2.0,0.0,64.0,3.0,8.0,4.0,5.0,2.0,1.0,3.0,0.0,2.0,2.0,0.8518236576563712,1.0
16.0,9.0,10.0,15.0,15.0,4.0,14.0,24.0,6.0,0.0,9.0,2.0,2.0,3.0,5.0,2.0,0.5724954665329088,0.5724954665329088
12.0,9.0,16.0,5.0,80.0,4.0,40.0,15.0,4.0,8.0,0.0,4.0,2.0,3.0,3.0,2.0,0.7537480340134456,0.9537480340134455
15.0,9.0,16.0,8.0,10.0,9.0,18.0,18.0,2.0,8.0,6.0,2.0,9.0,8.0,3.0,7.0,0.40271261333878633,0.40271261333878633
12.0,3.0,12.0,63.0,7.0,4.0,4.0,90.0,4.0,2.0,1.0,2.0,6.0,3.0,0.0,1.0,0.8487250242900252,1.0
42.0,20.0,40.0,1.0,12.0,8.0,24.0,5.0,1.0,8.0,6.0,0.0,4.0,2.0,5.0,4.0,0.6594189432702711,0.6594189432702711
6.0,6.0,28.0,4.0,10.0,8.0,63.0,30.0,1.0,5.0,3.0,0.0,9.0,7.0,2.0,1.0,0.6549945474146003,0.7549945474146003
63.0,14.0,8.0,1.0,18.0,12.0,16.0,15.0,2.0,5.0,2.0,0.0,3.0,4.0,6.0,2.0,0.7500878694588303,0.9500878694588303
54.0,56.0,5.0,16.0,0.0,40.0,4.0,5.0,3.0,1.0,4.0,6.0,0.0,6.0,0.0,4.0,0.7595545253127499,0.8595545253127499
36.0,56.0,10.0,24.0,0.0,16.0,6.0,5.0,5.0,1.0,9.0,5.0,6.0,0.0,1.0,4.0,0.6233743799113662,0.7233743799113662
40.0,8.0,4.0,0.0,0.0,14.0,3.0,9.0,6.0,7.0,3.0,5.0,3.0,5.0,2.0,8.0,0.4213324203089069,0.5213324203089069
24.0,80.0,100.0,1.0,8.0,12.0,6.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.9774422928900743,1.0
80.0,36.0,10.0,6.0,5.0,20.0,6.0,14.0,2.0,5.0,9.0,5.0,4.0,1.0,1.0,5.0,0.6694036643332519,0.7694036643332519
20.0,4.0,3.0,20.0,0.0,14.0,1.0,40.0,1.0,3.0,2.0,8.0,1.0,5.0,0.0,6.0,0.6221362965046899,0.7221362965046899
12.0,4.0,10.0,16.0,36.0,3.0,14.0,20.0,1.0,3.0,9.0,6.0,5.0,2.0,5.0,8.0,0.48725314308765705,0.48725314308765705
30.0,30.0,8.0,49.0,3.0,30.0,10.0,27.0,1.0,7.0,2.0,0.0,2.0,1.0,3.0,6.0,0.788664556341955,0.9886645563419549
21.0,16.0,40.0,0.0,100.0,8.0,12.0,5.0,4.0,6.0,3.0,4.0,0.0,2.0,1.0,4.0,0.8058624641829505,0.9058624641829505
50.0,3.0,1.0,0.0,6.0,12.0,14.0,20.0,5.0,2.0,0.0,4.0,1.0,4.0,5.0,8.0,0.5881632091444797,0.5881632091444797
21.0,16.0,20.0,0.0,100.0,4.0,15.0,4.0,4.0,6.0,1.0,1.0,0.0,3.0,2.0,3.0,0.8447074377505626,0.9447074377505625
40.0,9.0,18.0,5.0,5.0,16.0,20.0,15.0,3.0,0.0,7.0,4.0,4.0,0.0,8.0,2.0,0.620708665560156,0.620708665560156
49.0,50.0,27.0,0.0,0.0,36.0,4.0,4.0,0.0,5.0,6.0,4.0,1.0,0.0,0.0,3.0,0.8268028724406153,0.9268028724406153
30.0,40.0,20.0,49.0,6.0,18.0,5.0,18.0,1.0,6.0,1.0,0.0,1.0,3.0,4.0,3.0,0.8548314075790474,1.0
9.0,5.0,16.0,12.0,54.0,2.0,24.0,50.0,0.0,4.0,0.0,4.0,3.0,1.0,5.0,5.0,0.7903974426900964,0.7903974426900964
45.0,70.0,8.0,7.0,9.0,36.0,10.0,9.0,4.0,3.0,2.0,6.0,0.0,0.0,3.0,0.0,0.8514260535775234,0.9514260535775234
9.0,1.0,10.0,16.0,100.0,1.0,6.0,72.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.975059196169419,1.0
8.0,1.0,4.0,80.0,9.0,2.0,3.0,100.0,2.0,0.0,3.0,2.0,8.0,1.0,2.0,0.0,0.8325144786385742,1.0
40.0,18.0,15.0,42.0,0.0,7.0,8.0,20.0,6.0,3.0,2.0,1.0,9.0,6.0,2.0,1.0,0.6367145399670133,0.6367145399670133
18.0,3.0,4.0,70.0,5.0,5.0,4.0,90.0,3.0,2.0,0.0,3.0,4.0,4.0,0.0,1.0,0.8812213694907878,1.0
21.0,2.0,4.0,16.0,0.0,6.0,8.0,90.0,4.0,1.0,3.0,6.0,6.0,5.0,7.0,1.0,0.6295864076392766,0.7295864076392766
21.0,2.0,16.0,2.0,36.0,2.0,64.0,50.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,0.9001705093954911,1.0
4.0,12.0,50.0,0.0,18.0,2.0,24.0,7.0,3.0,1.0,5.0,8.0,7.0,1.0,5.0,6.0,0.533701590196258,0.6337015901962579
14.0,1.0,5.0,28.0,18.0,4.0,18.0,72.0,5.0,0.0,4.0,3.0,7.0,3.0,3.0,1.0,0.7312113294761091,0.8312113294761091
16.0,1.0,1.0,72.0,4.0,15.0,2.0,100.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.9662444403897343,1.0
28.0,1.0,1.0,63.0,2.0,8.0,3.0,90.0,3.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,0.9446468777152847,1.0
16.0,1.0,1.0,70.0,5.0,6.0,3.0,100.0,0.0,0.0,0.0,3.0,4.0,1.0,2.0,0.0,0.9506224451602914,1.0
15.0,40.0,60.0,8.0,45.0,7.0,63.0,4.0,2.0,6.0,4.0,2.0,4.0,6.0,2.0,0.0,0.8125381553922585,1.0
24.0,18.0,56.0,4.0,0.0,8.0,16.0,9.0,5.0,7.0,1.0,3.0,7.0,7.0,0.0,8.0,0.5245339546351765,0.7245339546351764
35.0,6.0,2.0,8.0,0.0,24.0,10.0,27.0,2.0,1.0,1.0,7.0,5.0,2.0,9.0,6.0,0.5303115904119937,0.5303115904119937
20.0,42.0,40.0,3.0,0.0,21.0,12.0,8.0,1.0,1.0,6.0,2.0,9.0,4.0,4.0,2.0,0.6475790658048025,0.6475790658048025
3.0,18.0,40.0,3.0,60.0,6.0,10.0,4.0,2.0,7.0,6.0,2.0,4.0,5.0,3.0,3.0,0.6707039616959488,0.7707039616959488
40.0,8.0,1.0,0.0,0.0,14.0,3.0,10.0,6.0,7.0,0.0,10.0,1.0,5.0,2.0,9.0,0.3392857142857143,0.3392857142857143
48.0,20.0,24.0,24.0,2.0,20.0,12.0,21.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,4.0,0.8709991256949658,0.8709991256949658
48.0,8.0,6.0,30.0,4.0,15.0,12.0,42.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.9893729362746299,0.9893729362746299
30.0,54.0,20.0,2.0,27.0,24.0,2.0,4.0,1.0,3.0,1.0,1.0,6.0,5.0,1.0,0.0,0.8173019032191573,0.8173019032191573
72.0,30.0,9.0,14.0,0.0,35.0,2.0,12.0,1.0,7.0,8.0,5.0,0.0,2.0,1.0,4.0,0.6998627038997312,0.8998627038997311
25.0,16.0,32.0,12.0,0.0,30.0,2.0,20.0,0.0,6.0,4.0,4.0,1.0,7.0,1.0,8.0,0.6078033161132137,0.7078033161132137
20.0,12.0,28.0,4.0,10.0,54.0,10.0,9.0,1.0,4.0,3.0,3.0,9.0,3.0,3.0,0.0,0.6872836701121545,0.6872836701121545
15.0,6.0,21.0,16.0,10.0,9.0,8.0,21.0,2.0,5.0,4.0,0.0,9.0,8.0,2.0,4.0,0.5029348145218121,0.5029348145218121
24.0,9.0,7.0,45.0,0.0,24.0,6.0,30.0,2.0,8.0,6.0,4.0,1.0,5.0,1.0,7.0,0.5998910166209681,0.6998910166209681
63.0,14.0,8.0,4.0,0.0,20.0,8.0,25.0,2.0,5.0,2.0,3.0,6.0,8.0,7.0,0.0,0.6059088070699156,0.7059088070699155
20.0,3.0,2.0,7.0,5.0,8.0,10.0,30.0,1.0,2.0,1.0,6.0,4.0,2.0,9.0,7.0,0.4700726375275417,0.4700726375275417
6.0,6.0,80.0,12.0,50.0,2.0,28.0,20.0,1.0,1.0,2.0,1.0,5.0,1.0,3.0,1.0,0.9060494210140634,1.0
18.0,8.0,64.0,20.0,70.0,1.0,8.0,36.0,3.0,2.0,0.0,1.0,3.0,0.0,2.0,5.0,0.8972764132819167,1.0
16.0,21.0,32.0,6.0,10.0,16.0,12.0,16.0,0.0,4.0,4.0,1.0,9.0,6.0,4.0,0.0,0.6093113247559672,0.6093113247559672
8.0,5.0,24.0,4.0,30.0,3.0,36.0,21.0,2.0,4.0,5.0,3.0,7.0,2.0,0.0,4.0,0.685647769881616,0.685647769881616
12.0,8.0,20.0,30.0,18.0,16.0,3.0,9.0,1.0,7.0,8.0,7.0,3.0,0.0,2.0,8.0,0.4925212711164954,0.4925212711164954
45.0,60.0,6.0,12.0,0.0,49.0,18.0,6.0,4.0,4.0,5.0,1.0,5.0,0.0,7.0,1.0,0.7777777777777778,0.8777777777777778
50.0,8.0,3.0,16.0,0.0,10.0,6.0,27.0,5.0,2.0,2.0,6.0,10.0,3.0,1.0,6.0,0.5415303610738823,0.5415303610738823
35.0,54.0,90.0,7.0,0.0,32.0,4.0,12.0,2.0,3.0,1.0,6.0,1.0,4.0,3.0,4.0,0.8378544026261364,1.0
9.0,12.0,35.0,8.0,10.0,8.0,27.0,36.0,0.0,4.0,2.0,2.0,9.0,7.0,6.0,0.0,0.6127368346781744,0.6127368346781744
50.0,21.0,6.0,0.0,2.0,54.0,14.0,8.0,5.0,4.0,5.0,8.0,1.0,3.0,5.0,2.0,0.654830860157911,0.654830860157911
20.0,50.0,72.0,6.0,1.0,18.0,16.0,7.0,1.0,5.0,1.0,5.0,0.0,3.0,0.0,6.0,0.8002146015555092,0.9002146015555091
49.0,10.0,6.0,36.0,1.0,18.0,2.0,40.0,0.0,3.0,1.0,5.0,0.0,3.0,1.0,6.0,0.8219644634897771,1.0
20.0,10.0,36.0,5.0,3.0,12.0,4.0,9.0,1.0,9.0,5.0,4.0,2.0,4.0,3.0,8.0,0.49541508402214957,0.5954150840221496
16.0,3.0,6.0,28.0,10.0,4.0,10.0,40.0,6.0,2.0,5.0,3.0,9.0,3.0,3.0,3.0,0.5625000000000001,0.5625000000000001
12.0,1.0,1.0,60.0,2.0,8.0,1.0,100.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.9602133608088682,1.0
28.0,10.0,4.0,27.0,9.0,6.0,10.0,30.0,3.0,3.0,0.0,6.0,8.0,1.0,9.0,7.0,0.49899497385819724,0.49899497385819724
5.0,10.0,32.0,6.0,0.0,6.0,4.0,20.0,4.0,3.0,4.0,5.0,10.0,1.0,3.0,8.0,0.40958324154503134,0.40958324154503134
12.0,2.0,6.0,40.0,20.0,4.0,5.0,50.0,4.0,1.0,5.0,6.0,8.0,3.0,4.0,5.0,0.5954324333930321,0.5954324333930321
40.0,35.0,10.0,36.0,4.0,30.0,1.0,21.0,3.0,2.0,9.0,0.0,0.0,7.0,0.0,4.0,0.6929729624384736,0.6929729624384736
9.0,6.0,16.0,40.0,21.0,12.0,4.0,45.0,0.0,5.0,6.0,6.0,4.0,1.0,3.0,4.0,0.6876560761898924,0.6876560761898924
10.0,24.0,80.0,6.0,5.0,10.0,14.0,8.0,3.0,5.0,2.0,1.0,4.0,9.0,5.0,2.0,0.6595823601569477,0.7595823601569477
9.0,4.0,64.0,20.0,63.0,1.0,16.0,54.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.9706225068725006,1.0
30.0,21.0,8.0,10.0,0.0,5.0,8.0,20.0,7.0,4.0,7.0,3.0,9.0,4.0,2.0,1.0,0.4922885417981453,0.4922885417981453
12.0,9.0,21.0,20.0,0.0,8.0,8.0,27.0,4.0,8.0,4.0,1.0,10.0,7.0,2.0,6.0,0.42477062799828214,0.42477062799828214
24.0,54.0,70.0,25.0,0.0,16.0,6.0,6.0,2.0,3.0,3.0,0.0,7.0,6.0,1.0,1.0,0.787635937708768,0.887635937708768
15.0,4.0,4.0,36.0,18.0,12.0,15.0,63.0,2.0,0.0,3.0,0.0,7.0,1.0,2.0,2.0,0.8318449723112521,0.9318449723112521
30.0,2.0,3.0,36.0,0.0,7.0,8.0,35.0,7.0,1.0,2.0,5.0,10.0,6.0,2.0,2.0,0.5252733632462118,0.5252733632462118
10.0,2.0,8.0,9.0,36.0,3.0,80.0,70.0,3.0,1.0,2.0,0.0,5.0,2.0,2.0,3.0,0.8928429567157659,1.0
15.0,2.0,8.0,28.0,10.0,4.0,4.0,50.0,2.0,1.0,7.0,3.0,9.0,0.0,3.0,5.0,0.58138148623967,0.58138148623967
48.0,12.0,72.0,25.0,10.0,4.0,4.0,20.0,2.0,1.0,1.0,0.0,9.0,3.0,0.0,1.0,0.80314268217978,0.90314268217978
8.0,3.0,7.0,14.0,18.0,1.0,3.0,30.0,2.0,2.0,6.0,5.0,7.0,0.0,2.0,7.0,0.4961995280790304,0.4961995280790304
14.0,3.0,8.0,4.0,0.0,3.0,8.0,45.0,5.0,2.0,2.0,3.0,10.0,2.0,7.0,4.0,0.4490633821399449,0.4490633821399449
16.0,35.0,10.0,24.0,72.0,6.0,40.0,12.0,0.0,2.0,3.0,5.0,1.0,1.0,6.0,1.0,0.8483259213594839,1.0
30.0,8.0,16.0,45.0,10.0,4.0,4.0,40.0,1.0,2.0,6.0,4.0,9.0,3.0,0.0,6.0,0.6327251181982272,0.6327251181982272
10.0,7.0,30.0,32.0,9.0,9.0,12.0,32.0,3.0,6.0,1.0,4.0,8.0,8.0,4.0,4.0,0.5620787260510544,0.5620787260510544
18.0,48.0,21.0,2.0,9.0,16.0,36.0,12.0,3.0,2.0,4.0,1.0,8.0,6.0,5.0,4.0,0.6602627082107702,0.6602627082107702
45.0,14.0,2.0,6.0,6.0,24.0,6.0,27.0,4.0,5.0,1.0,5.0,1.0,2.0,1.0,6.0,0.7053559982835966,0.7053559982835966
24.0,80.0,60.0,4.0,18.0,12.0,15.0,3.0,2.0,2.0,4.0,3.0,7.0,1.0,2.0,2.0,0.8261865828388412,1.0
12.0,2.0,8.0,32.0,20.0,2.0,12.0,50.0,1.0,1.0,7.0,4.0,8.0,1.0,1.0,5.0,0.6389436703585621,0.6389436703585621
18.0,54.0,80.0,8.0,7.0,24.0,12.0,10.0,3.0,3.0,2.0,2.0,6.0,5.0,1.0,3.0,0.8230382139224668,0.9230382139224668
12.0,24.0,49.0,16.0,2.0,16.0,27.0,36.0,1.0,2.0,0.0,6.0,1.0,6.0,6.0,0.0,0.7729649070137321,0.9729649070137321
32.0,4.0,5.0,54.0,1.0,18.0,9.0,50.0,4.0,3.0,4.0,3.0,0.0,3.0,0.0,5.0,0.804729506956501,0.904729506956501
20.0,28.0,15.0,16.0,0.0,21.0,4.0,16.0,1.0,3.0,2.0,6.0,8.0,4.0,3.0,0.0,0.6806764747811278,0.6806764747811278
27.0,12.0,8.0,12.0,0.0,7.0,8.0,27.0,6.0,4.0,7.0,1.0,7.0,6.0,2.0,6.0,0.47422544293100094,0.47422544293100094
16.0,72.0,90.0,1.0,35.0,20.0,6.0,2.0,6.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.9210780424313496,1.0
72.0,35.0,2.0,24.0,0.0,100.0,1.0,35.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.9676509410346792,1.0
15.0,16.0,32.0,12.0,9.0,30.0,10.0,14.0,2.0,6.0,4.0,4.0,8.0,7.0,3.0,5.0,0.5591399546793303,0.5591399546793303
6.0,6.0,70.0,15.0,50.0,1.0,28.0,24.0,1.0,1.0,3.0,2.0,5.0,0.0,3.0,2.0,0.8845748207237921,1.0
16.0,40.0,20.0,9.0,54.0,8.0,30.0,3.0,0.0,3.0,8.0,0.0,3.0,2.0,7.0,2.0,0.7214559241970739,0.8214559241970739
27.0,14.0,8.0,4.0,0.0,10.0,5.0,20.0,6.0,5.0,2.0,3.0,10.0,9.0,4.0,1.0,0.40389075064471736,0.40389075064471736
42.0,16.0,7.0,16.0,0.0,18.0,2.0,27.0,1.0,6.0,6.0,6.0,6.0,3.0,1.0,6.0,0.5736047519317373,0.5736047519317373
21.0,2.0,8.0,10.0,30.0,2.0,16.0,50.0,4.0,1.0,2.0,9.0,1.0,1.0,6.0,5.0,0.6308024172397555,0.6308024172397555
6.0,2.0,48.0,20.0,70.0,2.0,12.0,50.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,5.0,0.9074852129730302,1.0
24.0,60.0,63.0,12.0,0.0,7.0,8.0,10.0,5.0,4.0,2.0,4.0,10.0,6.0,2.0,3.0,0.6377825869525723,0.7377825869525723
28.0,7.0,8.0,9.0,9.0,4.0,12.0,40.0,3.0,6.0,7.0,0.0,8.0,0.0,4.0,6.0,0.5427204202399745,0.5427204202399745
50.0,32.0,16.0,2.0,0.0,80.0,6.0,8.0,5.0,4.0,6.0,1.0,1.0,2.0,1.0,2.0,0.8208263020375995,0.9208263020375995
15.0,8.0,10.0,12.0,18.0,4.0,21.0,18.0,2.0,2.0,9.0,4.0,7.0,3.0,4.0,7.0,0.49175362260419864,0.49175362260419864
28.0,6.0,10.0,56.0,9.0,5.0,4.0,40.0,3.0,1.0,3.0,1.0,8.0,4.0,3.0,3.0,0.7283039565100292,0.8283039565100292
24.0,4.0,8.0,15.0,18.0,3.0,18.0,36.0,2.0,0.0,2.0,2.0,7.0,2.0,3.0,0.0,0.7925782431002757,0.7925782431002757
27.0,12.0,16.0,16.0,0.0,8.0,12.0,36.0,6.0,4.0,6.0,0.0,7.0,7.0,1.0,5.0,0.5453105255921015,0.5453105255921015
32.0,15.0,2.0,15.0,27.0,8.0,20.0,18.0,4.0,2.0,1.0,2.0,6.0,2.0,8.0,3.0,0.679317500092804,0.679317500092804
30.0,8.0,6.0,10.0,0.0,21.0,3.0,24.0,1.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,0.8262428004856266,0.9262428004856266
36.0,35.0,7.0,64.0,0.0,12.0,6.0,30.0,5.0,2.0,6.0,0.0,2.0,1.0,1.0,1.0,0.8423256962816416,0.9423256962816415
